"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ActorPS","ActorPS","ActorPS","","","",0,*,"","","","null {[]} {[]}
","ActorPS (LM)","Cet attribut représente l'acteur  PS. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ActorPS","ActorPS.XCN1","ActorPS.XCN1","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://interop.esante.gouv.fr/ig/fhir/pdsm4dmp/StructureDefinition/PSIdNat]]}
","Identifiant","Identifiant","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""3750100125/1453""/>","","",,,,,"",,,,"ActorXDS.XCN1",1,1,"",""
"ActorPS","ActorPS.XCN2","ActorPS.XCN2","","","",1,1,"","","","string {[]} {[]}
","Nom d'exercice du professionnel","Nom d'exercice du professionnel, nom du patient, nom du système.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN2",1,1,"",""
"ActorPS","ActorPS.XCN3","ActorPS.XCN3","","","",1,1,"","","","string {[]} {[]}
","Prénom usuel de la personne","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN3",1,1,"",""
"ActorPS","ActorPS.XCN9","ActorPS.XCN9","","","",1,1,"","","","Base {[]} {[]}
"," Autorité d’affectation"," Autorité d’affectation","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9",1,1,"",""
"ActorPS","ActorPS.XCN9.composant1","ActorPS.XCN9.composant1","","","",1,1,"","","","string {[]} {[]}
","Vide, pas de valeur","Vide, pas de valeur","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant1",1,1,"",""
"ActorPS","ActorPS.XCN9.composant2","ActorPS.XCN9.composant2","","","",1,1,"","","","string {[]} {[]}
","1.2.250.1.71.4.2.1 (OID de gestion de personnes)","Valeur de Universal ID","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant2",1,1,"",""
"ActorPS","ActorPS.XCN9.composant3","ActorPS.XCN9.composant3","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID type (ID)","Valeur de Universal ID type (ID)","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant3",1,1,"",""
"ActorPS","ActorPS.XCN10","ActorPS.XCN10","","","",1,1,"","","","code {[]} {[]}
","D","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, • U, pour les systèmes.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN10",1,1,"",""
"ActorPS","ActorPS.XCN13","ActorPS.XCN13","","","",1,1,"","","","code {[]} {[]}
","IDNPS","Type d’identifiant","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN13",1,1,"",""
"ActorPatient","ActorPatient","ActorPatient","","","",0,*,"","","","null {[]} {[]}
","ActorPatient (LM)","Cet attribut représente l'acteur  Patient. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ActorPatient","ActorPatient.XCN1","ActorPatient.XCN1","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://interop.esante.gouv.fr/ig/fhir/pdsm4dmp/StructureDefinition/MatriculeINS]]}
","Identifiant","Identifiant","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""124018852493334""/>","","",,,,,"",,,,"ActorXDS.XCN1",1,1,"",""
"ActorPatient","ActorPatient.XCN2","ActorPatient.XCN2","","","",1,1,"","","","string {[]} {[]}
","Nom du patient","Nom d'exercice du professionnel, nom du patient, nom du système.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN2",1,1,"",""
"ActorPatient","ActorPatient.XCN3","ActorPatient.XCN3","","","",1,1,"","","","string {[]} {[]}
","Prénom du patient","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN3",1,1,"",""
"ActorPatient","ActorPatient.XCN9","ActorPatient.XCN9","","","",1,1,"","","","Base {[]} {[]}
"," Autorité d’affectation"," Autorité d’affectation","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9",1,1,"",""
"ActorPatient","ActorPatient.XCN9.composant1","ActorPatient.XCN9.composant1","","","",1,1,"","","","string {[]} {[]}
","Vide, pas de valeur","Vide, pas de valeur","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant1",1,1,"",""
"ActorPatient","ActorPatient.XCN9.composant2","ActorPatient.XCN9.composant2","","","",1,1,"","","","string {[]} {[]}
","Valeur de l'OID de l’autorité d’affectation de l’identifiant","Valeur de Universal ID","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant2",1,1,"",""
"ActorPatient","ActorPatient.XCN9.composant3","ActorPatient.XCN9.composant3","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID type (ID)","Valeur de Universal ID type (ID)","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant3",1,1,"",""
"ActorPatient","ActorPatient.XCN10","ActorPatient.XCN10","","","",1,1,"","","","code {[]} {[]}
","D","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, • U, pour les systèmes.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN10",1,1,"",""
"ActorPatient","ActorPatient.XCN13","ActorPatient.XCN13","","","",1,1,"","","","code {[]} {[]}
","NH","Type d’identifiant","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN13",1,1,"",""
"ActorSNR","ActorSNR","ActorSNR","","","",0,*,"","","","null {[]} {[]}
","ActorSNR (LM)","Cet attribut représente l'acteur  SNR. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ActorSNR","ActorSNR.XCN1","ActorSNR.XCN1","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://interop.esante.gouv.fr/ig/fhir/pdsm4dmp/StructureDefinition/SNR]]}
","Identifiant","Identifiant","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""9.8.7.6.5.4.3.2.1""/>","","",,,,,"",,,,"ActorXDS.XCN1",1,1,"",""
"ActorSNR","ActorSNR.XCN2","ActorSNR.XCN2","","","",1,1,"","","","string {[]} {[]}
","Nom du système","Nom d'exercice du professionnel, nom du patient, nom du système.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN2",1,1,"",""
"ActorSNR","ActorSNR.XCN3","ActorSNR.XCN3","","","",1,1,"","","","string {[]} {[]}
","Nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN3",1,1,"",""
"ActorSNR","ActorSNR.XCN9","ActorSNR.XCN9","","","",1,1,"","","","Base {[]} {[]}
"," Autorité d’affectation"," Autorité d’affectation","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9",1,1,"",""
"ActorSNR","ActorSNR.XCN9.composant1","ActorSNR.XCN9.composant1","","","",1,1,"","","","string {[]} {[]}
","Vide, pas de valeur","Vide, pas de valeur","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant1",1,1,"",""
